bid_strategy,billing_event,campaign_id,created_time,daily_budget,end_time,id,lifetime_budget,name,optimization_goal,start_time,status,targeting.age_max,targeting.age_min,targeting.age_range,targeting.audience_network_positions,targeting.brand_safety_content_filter_levels,targeting.custom_audiences,targeting.device_platforms,targeting.excluded_custom_audiences,targeting.facebook_positions,targeting.flexible_spec,targeting.genders,targeting.geo_locations.countries,targeting.geo_locations.location_types,targeting.instagram_positions,targeting.messenger_positions,targeting.publisher_platforms,targeting.targeting_automation.advantage_audience,targeting.targeting_automation.individual_setting.age,targeting.targeting_automation.individual_setting.gender,targeting.targeting_relaxation_types.custom_audience,targeting.targeting_relaxation_types.lookalike,updated_time
,IMPRESSIONS,120236623914750180,2025-10-31T13:01:03-0400,,,120236623914760180,,Traffic Ad Set 1,LANDING_PAGE_VIEWS,2025-10-31T13:01:03-0400,ACTIVE,65,18,"[18, 65]",,,,"[""mobile"", ""desktop""]",,,,,"[""US""]","[""home"", ""recent""]","[""profile_reels"", ""story"", ""reels""]",,"[""instagram""]",1,,,,,2025-10-31T13:01:21-0400
LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,120217256878000180,2025-02-23T19:13:23-0500,0,2025-03-31T20:08:00-0400,120217256877980180,60000,DOD | ASC | NEW  Ad set,OFFSITE_CONVERSIONS,2025-02-23T19:13:23-0500,ACTIVE,65,18,,,,,,,,,,"[""US""]","[""home"", ""recent""]",,,,,,,,,2025-03-27T03:34:35-0400
LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,120214027846010180,2024-11-29T13:03:20-0500,1200,,120214027846030180,0,18+ | ALL | US | WEB L30 | OP(PUR),OFFSITE_CONVERSIONS,2024-11-29T13:03:20-0500,ACTIVE,65,18,,,"[""FACEBOOK_STANDARD"", ""AN_STANDARD""]","[{""id"": ""120214027853720180"", ""name"": ""WEB L30""}]",,"[{""id"": ""120214025209220180"", ""name"": ""PUR L180""}]",,,,"[""US""]","[""home"", ""recent""]",,,,0,,,0,0,2024-12-09T15:13:53-0500
LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,120214025202170180,2024-11-29T12:40:09-0500,1500,,120214025202150180,0,DOD | ASC | 2024 | WC  Ad set,OFFSITE_CONVERSIONS,2024-11-29T12:40:09-0500,ACTIVE,65,18,,,,,,,,,,"[""US""]","[""home"", ""recent""]",,,,,,,,,2025-02-14T03:17:32-0500
LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,120213342003480180,2024-11-21T12:13:58-0500,1200,,120213829048070180,0,Advantage+ Audience | 30-60,OFFSITE_CONVERSIONS,2024-11-21T12:13:58-0500,ACTIVE,65,18,"[30, 60]",,"[""FACEBOOK_STANDARD"", ""AN_STANDARD""]",,,,,,,"[""US""]","[""home"", ""recent""]",,,,1,,,,,2024-11-21T12:18:34-0500
LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,120213342003480180,2024-11-17T00:51:57-0500,1202,,120213713591520180,0,Amazon Music (streaming service),OFFSITE_CONVERSIONS,2024-11-17T00:51:57-0500,ACTIVE,65,18,"[18, 60]",,"[""FACEBOOK_STANDARD"", ""AN_STANDARD""]",,,,,"[{""interests"": [{""id"": ""569202086550452"", ""name"": ""Amazon Music""}]}]",,"[""US""]","[""home"", ""recent""]",,,,1,,,,,2024-11-22T10:14:11-0500
,IMPRESSIONS,120213630275970180,2024-11-17T00:45:37-0500,,,120213713106540180,,Concerts (music event),OFFSITE_CONVERSIONS,2024-11-17T00:45:37-0500,ACTIVE,65,18,"[18, 60]",,"[""FACEBOOK_STANDARD"", ""AN_STANDARD""]",,,,,"[{""interests"": [{""id"": ""6002970406974"", ""name"": ""Concerts""}]}]",,"[""US""]","[""home"", ""recent""]",,,,1,,,,,2024-11-17T00:45:37-0500
,IMPRESSIONS,120213630275970180,2024-11-17T00:43:41-0500,,,120213713078120180,,SoundCloud,OFFSITE_CONVERSIONS,2024-11-17T00:43:41-0500,ACTIVE,65,18,"[18, 60]",,"[""FACEBOOK_STANDARD"", ""AN_STANDARD""]",,,,,"[{""interests"": [{""id"": ""6003253526111"", ""name"": ""SoundCloud""}]}]",,"[""US""]","[""home"", ""recent""]",,,,1,,,,,2024-11-17T00:43:41-0500
LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,120213342003480180,2024-11-13T12:42:44-0500,1202,,120213630331460180,0,Apple Music,OFFSITE_CONVERSIONS,2024-11-13T12:42:44-0500,ACTIVE,65,18,"[18, 60]",,"[""FACEBOOK_STANDARD"", ""AN_STANDARD""]",,,,,"[{""interests"": [{""id"": ""937077532996593"", ""name"": ""Apple Music""}]}]",,"[""US""]","[""home"", ""recent""]",,,,1,,,,,2024-11-22T10:14:11-0500
,IMPRESSIONS,120213630275970180,2024-11-13T12:41:19-0500,,,120213630275960180,,"Blues, Jazz",OFFSITE_CONVERSIONS,2024-11-13T12:41:20-0500,PAUSED,65,18,"[18, 60]",,"[""FACEBOOK_STANDARD"", ""AN_STANDARD""]",,,,,"[{""interests"": [{""id"": ""6003146442552"", ""name"": ""Jazz music""}, {""id"": ""6003257757682"", ""name"": ""Blues music""}]}]",,"[""US""]","[""home"", ""recent""]",,,,1,,,,,2024-11-17T00:42:58-0500
